X,Y,Name,Type,Identifier,Descriptio,Status,Sensor typ,Transmissi,River Syst,Easting/x/,Northing/y,Spatial Re,Elevation,Represente,Distance t,Country,Contact Pe,Year of Es,Year of Cl,Metadata C,Metadata D,MID,field_22,icon_url
13.417,-12.583,Benguela,climate station (WMO),WMO/DATSAV3:663100,,working,,,,"13.417","-12.583",WGS 84 (lat/long),"36",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/04/1949,,"Butchart-Kuhlmann, Daniel",22/07/2011,"225",,./0.png
12.183,-5.55,Cabinda,climate station (WMO),WMO/DATSAV3:661040,,working,,,,"12.183","-5.55",WGS 84 (lat/long),"20",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/08/1948,,"Butchart-Kuhlmann, Daniel",22/07/2011,"227",,./0.png
15.75,-12.8,Huambo,climate station (WMO),WMO/DATSAV3:663180,,working,,,,"15.75","-12.8",WGS 84 (lat/long),"1703",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/02/1955,,"Butchart-Kuhlmann, Daniel",22/07/2011,"229",,./0.png
13.25,-8.85,Luanda,climate station (WMO),WMO/DATSAV3:661600,,working,,,,"13.25","-8.85",WGS 84 (lat/long),"74",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1952,,"Butchart-Kuhlmann, Daniel",22/07/2011,"234",,./0.png
20.817,-7.4,Lunda Norte (Dundo),climate station (WMO),WMO/DATSAV3:661520,,closed,,,,"20.817","-7.4",WGS 84 (lat/long),"776",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/06/1951,24/01/2008,"Butchart-Kuhlmann, Daniel",22/07/2011,"235",,./0.png
20.4,-9.65,Lunda Sul (Saurimo) (Henrique D),climate station (WMO),WMO/DATSAV3:662260,,closed,,,,"20.4","-9.65",WGS 84 (lat/long),"1092",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1955,,"Butchart-Kuhlmann, Daniel",22/07/2011,"236",,./0.png
16.367,-9.55,Malange,climate station (WMO),WMO/DATSAV3:662150,,working,,,,"16.367","-9.55",WGS 84 (lat/long),"1142",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1951,,"Butchart-Kuhlmann, Daniel",22/07/2011,"237",,./0.png
12.15,-15.267,Namibe,climate station (WMO),WMO/DATSAV3:661361,,closed,,,,"12.15","-15.267",WGS 84 (lat/long),"66",,,Angola,"INAMET - Instituto Nacional de Hidrometeorologia e Geofisica, Angola",01/01/1948,,"Butchart-Kuhlmann, Daniel",22/07/2011,"239",,./0.png
16.695144,-11.48721,Andulo,precipitation,,,working,,,,"16.695144","-11.48721",WGS 84 (lat/long),"1502",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",12/09/2011,"320",,./0.png
16.283333,-14.483333,Vila Artur de Paiva,"gauging station (river), precipitation","637520",,out of order,,,Cubango,"16.283333","-14.483333",WGS 84 (lat/long),"1420","7320",,Angola,"DNRH - DirecÃ§Ã£o Nacional de Recursos HÃ­dricos, MinistÃ©rio da EnergÃ­a e Ãguas",,,"Kralisch, Sven, Dr",12/09/2011,"326",,./0.png
11.717,-16.6,Baia dos Tigres,precipitation,WMO/DATSAV3:664500,,closed,,,,"11.717","-16.6",WGS 84 (lat/long),"1",,,Angola,IWR - Rhodes University and Water Research Comission,01/04/1959,18/07/2005,"Butchart-Kuhlmann, Daniel",13/09/2011,"330",,./0.png
19.33,-10.8,Cacolo,precipitation,,,working,,,,"19.33","-10.8",WGS 84 (lat/long),"1422",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"337",,./0.png
15.8,-13.23,Caconda,precipitation,,,working,,,,"15.8","-13.23",WGS 84 (lat/long),"1676",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"339",,./0.png
15.3,-16.32,Cafu,precipitation,,,working,,,,"15.3","-16.32",WGS 84 (lat/long),"1112",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"341",,./0.png
19.87,-13.68,Cangamba,precipitation,,,working,,,,"19.87","-13.68",WGS 84 (lat/long),"1135",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"343",,./0.png
13.5,-13,Cassequel,precipitation,,,working,,,,"13.5","-13",WGS 84 (lat/long),"746",,,Angola,IWR - Rhodes University and Water Research Comission,,,"Butchart-Kuhlmann, Daniel",13/09/2011,"347",,./0.png
